SOURCE	TARGET	ENZYMES
C00346	C00641	3.1.4.3
C00346	C03454	3.1.4.4;3.1.4.3
C00346	C00517	4.1.2.27
C00346	C00249	;4.1.2.27
C00346	C00344	3.1.4.3;2.7.8.-
C00346	CE6498	
C00346	C00063	2.7.7.14
C00346	CE6499	
C00346	C00189	;3.1.3.75;2.7.7.14;1.13.11.-;4.1.2.27;3.1.4.4;3.1.4.3;2.7.8.-;3.1.4.2;3.1.4.39;2.7.1.82;2.7.8.8;3.1.4.46;3.1.-
C00346	C00093	;3.1.4.46;3.1.4.3;3.1.4.2
C00346	C06124	;4.1.2.27
C00346	C00570	;2.7.7.14
C00346	C00350	;3.1.4.4;3.1.4.3;2.7.8.-
C00346	C01177	;3.1.4.4;3.1.4.3
C00346	C00588	;3.1.3.75;3.1.4.3
C00346	C01194	;3.1.4.4;3.1.4.3
C00346	C00157	;3.1.4.4;3.1.4.3;2.7.8.-
C00346	C04756	3.1.4.4;3.1.4.3
C00346	C01120	;4.1.2.27
C00641	C00836	3.1.3.4
C00641	C00319	3.1.3.4
C00063	C00363	2.7.4.6;3.6.1.5;2.7.1.40
C00063	C00025	6.3.4.2
C00189	C00065	;2.7.8.8;3.1.4.4;2.7.8.-
C00093	C05650	;3.1.4.46;1.14.16.5;3.1.4.2
C06124	C00836	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C06124	C00319	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00350	C00065	;3.1.1.4;4.1.1.65;3.1.4.4;2.7.8.-;3.1.1.32
C00588	C00319	;3.1.4.12
C00157	C00065	;3.1.1.4;3.1.4.4;3.1.1.32;2.7.8.-
C01120	C00836	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C01120	C00319	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C05490	C03772	1.3.99.6
C05490	C05477	1.3.99.6
C05490	C05478	1.1.1.146
C05490	C05293	1.3.99.6
C05490	C05285	1.1.1.146;1.14.15.4
C05490	C02140	1.3.99.6;1.1.1.146;1.14.15.5;1.14.15.4;1.14.99.10
C05490	C05473	1.3.99.6
C05490	C00280	1.3.99.6;1.14.15.4
C05490	C05451	1.3.99.6
C05490	C00735	1.1.1.146;1.14.15.4;1.14.99.10
C05490	C00028	1.3.99.6;1.14.99.10
C05490	C05479	1.3.99.6
C05490	C05457	1.3.99.6
C05490	C05455	1.3.99.6
C05490	C00030	1.3.99.6;1.14.99.10
C05490	C02797	1.3.99.6
C05490	C05284	1.1.1.146;1.14.15.4
C05490	C05476	1.1.1.146
